day,1 day flow,2 days max flow,2 days total flow
2016-11-29,1500.35,1688.43,3188.7799999999997
2016-12-06,1537.0,1649.85,3186.85
2016-12-12,2502.4,4514.57,7016.969999999999
2016-12-19,1537.0,1902.34,3439.34
2016-12-28,1549.32,1549.32,2704.6
2017-01-04,5397.09,13132.69,18529.78
2017-01-09,1611.75,2156.53,3768.28
2017-01-16,12980.58,12980.58,15646.57
2017-01-24,8992.76,8992.76,16872.64
2017-01-30,1834.02,2214.9,4048.92
2017-02-07,3434.92,4579.22,8014.14
2017-02-13,1873.84,2125.14,3998.9799999999996
2017-02-20,1419.2,2757.92,4177.12
2017-02-27,743.9,792.42,1536.32
2017-03-06,600.47,784.23,1384.7
2017-03-13,7599.42,7599.42,9550.77
2017-03-20,543.13,601.32,1144.45
2017-03-27,4538.23,12985.96,17524.19
2017-04-03,4351.33,4351.33,5486.12
2017-04-10,2336.0,3178.15,5514.15
2017-04-18,4514.67,4514.67,8705.369999999999
2017-04-26,899.24,991.01,1890.25
2017-11-05,2155.97,4171.43,6327.4
2017-11-11,780.47,918.1,1698.5700000000002
2017-11-20,460.99,481.74,942.73
2017-11-28,377.18,385.14,762.3199999999999
2017-12-02,345.41,357.31,702.72
2017-12-11,789.05,789.05,1075.1
2017-12-17,262.39,270.28,532.67
2017-12-26,262.39,262.39,489.39
2018-01-02,230.92,230.92,457.91999999999996
2018-01-07,1236.17,1590.33,2826.5
2018-01-13,888.88,2323.63,3212.51
2018-02-03,7674.52,7674.52,7674.52
2018-02-12,18183.64,18183.64,18552.87
2018-02-18,1393.8,2792.09,4185.89
2018-02-24,2499.05,41760.06,44259.11
2018-03-05,963.32,1086.43,2049.75
2018-03-11,692.68,856.57,1549.25
2018-03-17,543.9,574.28,1118.1799999999998
2018-03-26,11766.66,11766.66,23239.68
2018-04-04,840.8,913.13,1753.9299999999998
2018-04-07,678.83,735.29,1414.12
2018-04-14,9271.2,14547.52,23818.72
2018-04-22,1346.77,1553.82,2900.59
2018-11-11,5765.84,14257.9,20023.739999999998
2018-11-17,972.08,1074.74,2046.8200000000002
2018-11-25,579.06,655.77,1234.83
2018-12-01,548.88,623.07,1171.95
2018-12-09,480.76,591.42,1072.1799999999998
2018-12-23,1124.54,1566.26,2690.8
2018-12-29,548.88,610.28,1159.1599999999999
2019-01-06,1017.02,1578.83,2595.85
2019-01-12,1017.02,1250.4,2267.42
2019-01-21,1815.65,1815.65,2754.4
2019-01-26,662.44,1455.95,2118.3900000000003
2019-02-09,475.36,502.79,978.1500000000001
2019-02-17,514.06,1432.11,1946.1699999999998
2019-02-23,12436.68,12436.68,12849.07
2019-03-03,655.77,710.29,1366.06
2019-03-09,2331.81,2331.81,3262.34
2019-03-16,1305.48,7568.85,8874.33
2019-03-23,525.5,554.83,1080.33
2019-03-31,519.76,616.66,1136.42
2019-04-06,519.76,566.86,1086.62
2019-04-14,947.02,3164.75,4111.77
2019-04-28,486.21,486.21,902.56
